path,category,size_bytes
.DS_Store,.DS_Store,6148
.gitignore,.gitignore,329
.python-version,.python-version,5
README.md,README.md,2461
"Understanding GPSGNSS Principles and Applications, Third Edition (Gnss Technology and Applications Series) (Elliott Kaplan, Christopher J. Hegarty) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Understanding GPSGNSS Principles and Applications, Third Edition (Gnss Technology and Applications Series) (Elliott Kaplan, Christopher J. Hegarty) (z-library.sk, 1lib.sk, z-lib.sk).pdf",19655978
archive/README.md,archive,672
archive/research/corrections/.DS_Store,correction_archive,6148
archive/research/corrections/issue_01_truth_dependency/comparison/issue_01_diff_plots.png,correction_archive,228507
archive/research/corrections/issue_01_truth_dependency/comparison/issue_01_diff_summary.json,correction_archive,1763
archive/research/corrections/issue_01_truth_dependency/comparison/issue_01_diff_tables.csv,correction_archive,10494
archive/research/corrections/issue_01_truth_dependency/comparison/issue_01_diff_tables.json,correction_archive,33686
archive/research/corrections/issue_01_truth_dependency/comparison/issue_01_findings.md,correction_archive,1499
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/cross_frequency/combined_metrics.csv,correction_archive,65232
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/cross_frequency/combined_metrics.json,correction_archive,221840
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/cross_frequency/combined_metrics_vs_frequency.png,correction_archive,211407
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/clock_bias_drift.png,correction_archive,139277
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/dynamic_observations.csv,correction_archive,568059
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/dynamic_state_history.csv,correction_archive,247100
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/filter_vs_epoch_wls.png,correction_archive,230503
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/geometry_3d_timeslices.png,correction_archive,611399
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/geometry_timeseries.png,correction_archive,603378
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/innovation_timeseries.png,correction_archive,202399
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/legacy_channel_overview.png,correction_archive,434468
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/observation_formation_overview.png,correction_archive,338387
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/report_full.md,correction_archive,28012
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/report_summary.md,correction_archive,4820
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/sky_geometry_dynamic.png,correction_archive,399594
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/summary.json,correction_archive,8713
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/trajectory_error.png,correction_archive,256542
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/velocity_error.png,correction_archive,231788
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p0GHz/visible_satellites_and_weights.png,correction_archive,233584
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p5GHz/clock_bias_drift.png,correction_archive,134273
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p5GHz/dynamic_observations.csv,correction_archive,568147
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p5GHz/dynamic_state_history.csv,correction_archive,250355
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p5GHz/filter_vs_epoch_wls.png,correction_archive,204377
archive/research/corrections/issue_01_truth_dependency/corrected_fullstack/ekf/19p5GHz/geometry_3d_timeslices.png,correction_archive,611399
