case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.153815,0.800000,9.022657,20380970.563156,50.125872,0.153815,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2.084335,2.974084
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.163922,-0.600000,-7.791682,20615618.422935,51.944549,0.163922,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-10.274244,-10.047317
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.179897,1.100000,12.038696,20939007.930705,54.721344,0.179897,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,13.040872,12.516752
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.204283,-0.900000,-10.576594,21352412.594960,58.758854,0.204283,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-9.323775,-10.203877
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.230853,0.400000,15.101582,21724316.505553,62.923258,0.230853,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,12.034286,11.704535
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.276199,-0.700000,-11.131327,22228241.962102,69.570796,0.276199,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-15.856395,-15.596708
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.335545,1.600000,15.516492,22718532.847881,77.582462,0.335545,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,14.457910,14.864165
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.392864,-1.300000,-11.864417,23068146.775638,84.745833,0.392864,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-6.162989,-6.376928
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.214042,1.040000,7.326927,20357771.688600,61.057725,0.214042,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,120.871057,7.704163
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.245338,-0.780000,-13.181348,20853608.724083,65.906739,0.245338,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-41.860446,-17.950128
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.309393,1.430000,26.267301,21601223.394584,75.049431,0.309393,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-78.878951,30.499678
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.469763,-1.170000,-56.893805,22697167.376506,94.823009,0.469763,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-140.919078,-61.929797
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.833443,0.520000,124.186827,23778773.486576,130.722975,0.833443,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,146.833682,66.984469
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.323026,-0.910000,217.991722,24387317.206103,189.558019,1.323026,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,222.180084,97.622287
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.083353,2.080000,-446.456117,24817535.107258,279.035073,2.083353,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-611.956724,-619.274045
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.846494,-1.690000,750.120972,25038880.153708,340.964078,2.846494,108.352410,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,383.730376,564.481250
