frequency_hz,comparison_runs_ekf_pr_doppler_diverged_epochs,comparison_runs_ekf_pr_doppler_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_doppler_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_doppler_mean_innovation_pr_m,comparison_runs_ekf_pr_doppler_mean_innovation_rr_mps,comparison_runs_ekf_pr_doppler_mean_position_error_3d_m,comparison_runs_ekf_pr_doppler_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_doppler_prediction_only_epochs,comparison_runs_ekf_pr_only_diverged_epochs,comparison_runs_ekf_pr_only_mean_clock_bias_abs_error_m,comparison_runs_ekf_pr_only_mean_clock_drift_abs_error_mps,comparison_runs_ekf_pr_only_mean_innovation_pr_m,comparison_runs_ekf_pr_only_mean_position_error_3d_m,comparison_runs_ekf_pr_only_mean_velocity_error_3d_mps,comparison_runs_ekf_pr_only_prediction_only_epochs,comparison_runs_epoch_wls_mean_clock_bias_abs_error_m,comparison_runs_epoch_wls_mean_position_error_3d_m,comparison_runs_epoch_wls_mean_residual_rms_m,comparison_runs_epoch_wls_valid_epochs,degradation_window_s_end_s,degradation_window_s_start_s,ekf_pr_doppler_mean_clock_bias_error_m,ekf_pr_doppler_mean_clock_drift_error_mps,ekf_pr_doppler_mean_innovation_pr_m,ekf_pr_doppler_mean_innovation_rr_mps,ekf_pr_doppler_mean_position_error_3d_m,ekf_pr_doppler_mean_velocity_error_3d_mps,ekf_pr_doppler_prediction_only_epochs,ekf_pr_only_mean_clock_bias_error_m,ekf_pr_only_mean_clock_drift_error_mps,ekf_pr_only_mean_innovation_pr_m,ekf_pr_only_mean_position_error_3d_m,ekf_pr_only_mean_velocity_error_3d_mps,ekf_pr_only_prediction_only_epochs,epoch_wls_mean_position_error_3d_m,epoch_wls_mean_residual_rms_m,legacy_dynamic_range_rate_sigma_100ms_mps,legacy_effective_pseudorange_bias_m,legacy_effective_pseudorange_rmse_m,legacy_effective_pseudorange_sigma_100ms_m,legacy_effective_pseudorange_sigma_1s_m,legacy_tau_g_median_m,legacy_tau_g_span_m,time_axes_navigation_rate_hz,time_axes_num_navigation_epochs,time_axes_receiver_sample_rate_hz,time_axes_tracking_output_rate_hz
19000000000.0,0.0,70.29029220798478,0.10048573339200566,931.6917785997576,1.9085107296335093,106.86046989092185,0.15457914356483865,62.0,0.0,5055.096649836244,671.4779313352823,2007.6664336064046,7060.729056445371,922.8557303005902,62.0,755.6703074957057,1125.9476609726466,713.0422408989813,157.0,12.693999000000002,10.077999000000002,70.29029220798478,0.10048573339200566,931.6917785997576,1.9085107296335093,106.86046989092185,0.15457914356483865,62.0,5055.096649836244,671.4779313352823,2007.6664336064046,7060.729056445371,922.8557303005902,62.0,1125.9476609726466,713.0422408989813,0.1381773272020429,-98.56860018171938,281.1215432757924,319.3443096634555,267.8145905444426,0.14679063030010583,0.04647270334885903,10.0,219.0,500000.0,1000.0000000001102
19500000000.0,0.0,173.88263025306262,0.24907050288626648,678.7031223014822,1.9940188637094962,256.88217225238714,0.48629892620466897,59.0,0.0,2613.218026261884,423.11119829885325,1229.7395881139055,3729.233636234023,639.695937885776,59.0,507.89842206116674,762.9828421362952,565.8590220344771,160.0,12.693999000000002,10.077999000000002,173.88263025306262,0.24907050288626648,678.7031223014822,1.9940188637094962,256.88217225238714,0.48629892620466897,59.0,2613.218026261884,423.11119829885325,1229.7395881139055,3729.233636234023,639.695937885776,59.0,762.9828421362952,565.8590220344771,0.18788072963942423,-21.887313434726234,108.20996297090392,191.0049023966354,108.3524103760749,0.1464031434664903,0.04488052763457917,10.0,219.0,500000.0,1000.0000000001102
20000000000.0,0.0,114.23172415124439,0.08874898931134828,512.0109972407955,1.707460291834289,139.5030435309494,0.1895186799941522,60.0,0.0,1575.5230432453106,284.00040607736514,790.5214211929299,2164.2865854200286,360.7460287530611,60.0,386.9403276228716,540.8854044213012,404.48448141583975,159.0,12.693999000000002,10.077999000000002,114.23172415124439,0.08874898931134828,512.0109972407955,1.707460291834289,139.5030435309494,0.1895186799941522,60.0,1575.5230432453106,284.00040607736514,790.5214211929299,2164.2865854200286,360.7460287530611,60.0,540.8854044213012,404.48448141583975,0.108118414947883,15.522123588670594,64.13397099860296,164.28379751571973,64.01173016142062,0.14609024046289232,0.043233460862591666,10.0,219.0,500000.0,1000.0000000001102
20500000000.0,0.0,93.6105360077234,0.1763157323086776,687.4734917500906,1.1301748578354838,130.42931113122398,0.2696935401645826,56.0,0.0,1691.6327600583359,235.06268509224319,975.1187516102293,2370.5856133382686,325.369755543261,56.0,429.264311802073,644.1670298085367,559.5222528547785,163.0,12.693999000000002,10.077999000000002,93.6105360077234,0.1763157323086776,687.4734917500906,1.1301748578354838,130.42931113122398,0.2696935401645826,56.0,1691.6327600583359,235.06268509224319,975.1187516102293,2370.5856133382686,325.369755543261,56.0,644.1670298085367,559.5222528547785,0.20508404868070634,-40.85814161291249,93.48767496850442,193.60480697395045,85.00954346927142,0.14575716011824974,0.039625683450942445,10.0,219.0,500000.0,1000.0000000001102
21000000000.0,0.0,44.770071239680924,0.047376498492127966,515.6485647161172,1.3256713865123764,56.6572290555253,0.08762362470239621,48.0,0.0,870.8715051924546,163.0114353143001,645.5054470160601,1149.788828405859,182.74519375479215,48.0,418.30824034507646,587.1343953775979,393.0369548950961,171.0,12.693999000000002,10.077999000000002,44.770071239680924,0.047376498492127966,515.6485647161172,1.3256713865123764,56.6572290555253,0.08762362470239621,48.0,870.8715051924546,163.0114353143001,645.5054470160601,1149.788828405859,182.74519375479215,48.0,587.1343953775979,393.0369548950961,0.08436376592385371,-2.219125590076055,37.36800225027526,150.50054920295747,38.181285908741444,0.14543566704645347,0.03509345864365618,10.0,219.0,500000.0,1000.0000000001102
21500000000.0,0.0,40.98948639933854,0.07254832056535099,640.1549303239254,0.8668999362083164,70.43782632825214,0.1231439522575538,50.0,0.0,813.3906296631898,140.83178197700846,757.5578430579446,1070.8038912895001,172.9540761214729,50.0,428.25912695955554,653.8080386144328,512.4565386520347,169.0,12.693999000000002,10.077999000000002,40.98948639933854,0.07254832056535099,640.1549303239254,0.8668999362083164,70.43782632825214,0.1231439522575538,50.0,813.3906296631898,140.83178197700846,757.5578430579446,1070.8038912895001,172.9540761214729,50.0,653.8080386144328,512.4565386520347,0.08938119185917394,-28.983729679701504,106.93830138285622,188.3450557532669,104.96657935863695,0.1451532814607685,0.035775588706488476,10.0,219.0,500000.0,1000.0000000001102
22000000000.0,0.0,102.6685217230088,0.09918387421488405,532.8742578819373,1.5906333835595385,125.65651373102021,0.18237606894654804,48.0,0.0,3124.7154043201585,569.2944508548613,1221.9267465463677,4386.008909456035,800.6844514619277,48.0,469.7366946877058,634.7894560080786,393.1419937234604,171.0,12.693999000000002,10.077999000000002,102.6685217230088,0.09918387421488405,532.8742578819373,1.5906333835595385,125.65651373102021,0.18237606894654804,48.0,3124.7154043201585,569.2944508548613,1221.9267465463677,4386.008909456035,800.6844514619277,48.0,634.7894560080786,393.1419937234604,0.0393427974982791,-6.546644495292824,32.3139229697324,157.01687582855882,32.139321895740935,0.14488263248466357,0.03591633012081161,10.0,219.0,500000.0,1000.0000000001102
22500000000.0,0.0,15.287333522240111,0.034314890440178866,526.38266778124,0.6518203862246668,15.090880029261898,0.04294435127175012,46.0,0.0,617.7963030911492,97.29579300471788,606.1026538776963,891.7828196870286,149.88907322442202,46.0,425.2440441580995,583.655927477217,388.31910789004564,173.0,12.693999000000002,10.077999000000002,15.287333522240111,0.034314890440178866,526.38266778124,0.6518203862246668,15.090880029261898,0.04294435127175012,46.0,617.7963030911492,97.29579300471788,606.1026538776963,891.7828196870286,149.88907322442202,46.0,583.655927477217,388.31910789004564,0.040214639938529584,-25.391096310294596,67.50951170892598,165.353170911279,63.3941266596871,0.1446362565907477,0.035813853040689625,10.0,219.0,500000.0,1000.0000000001102
23000000000.0,0.0,17.73518543601262,0.05016626418171078,581.2130979857923,1.519731046288988,34.79180637455815,0.06785035732217719,49.0,0.0,1820.8733494896535,301.2721708643492,936.5612434013829,2701.7432898035963,504.86877794077543,49.0,382.7191892560422,492.46859344626876,447.12406311157014,170.0,12.693999000000002,10.077999000000002,17.73518543601262,0.05016626418171078,581.2130979857923,1.519731046288988,34.79180637455815,0.06785035732217719,49.0,1820.8733494896535,301.2721708643492,936.5612434013829,2701.7432898035963,504.86877794077543,49.0,492.46859344626876,447.12406311157014,0.061075427221159384,-22.380825617683957,68.78709914675676,164.75570693749896,66.10931768387111,0.14438201067253936,0.03784514143232984,10.0,219.0,500000.0,1000.0000000001102
23500000000.0,0.0,22.087252339651275,0.019686675093716587,427.378256785432,0.8759278147139757,18.988414786665228,0.039674342477741445,43.0,0.0,216.0741853865773,44.00697926031474,448.30999601346434,376.9385262445311,105.4729443016897,43.0,362.65879122018947,470.61847324186385,299.9552773564565,176.0,12.693999000000002,10.077999000000002,22.087252339651275,0.019686675093716587,427.378256785432,0.8759278147139757,18.988414786665228,0.039674342477741445,43.0,216.0741853865773,44.00697926031474,448.30999601346434,376.9385262445311,105.4729443016897,43.0,470.61847324186385,299.9552773564565,0.038503216418356516,-4.018816052187693,35.933180432605,144.9435266962952,36.46075715889271,0.1441664566646948,0.035498920242752974,10.0,219.0,500000.0,1000.0000000001102
