epoch_idx,t_s,sat_id,valid,degradation_applied,azimuth_deg,elevation_deg,geometric_range_m,geometric_range_rate_mps,sat_clock_bias_s,sat_clock_drift_mps,tropo_delay_m,dispersive_delay_m,hardware_bias_m,pseudorange_m,pseudorange_sigma_m,range_rate_mps,range_rate_sigma_mps,legacy_snr_db,legacy_lock_metric,legacy_loss_flag,legacy_pr_error_m,legacy_rr_error_mps,measurement_note
0,0.049999,G01,0,0,18.007269,74.143108,20324385.512558,-1556.157716,2.800833893560e-08,0.050000,2.598686,0.150350,0.800000,20328374.660569,31484.813759,-1416.400848,1505.354766,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G02,0,0,62.131590,66.179018,20559745.593277,-3937.363393,-1.700500336136e-08,-0.030000,2.732271,0.160096,-0.600000,20560578.280840,32186.810740,-2549.536804,1710.451470,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G03,0,0,109.221340,56.160149,20978364.169300,-3538.052280,1.300333557424e-08,0.020000,3.008532,0.180637,1.100000,20965170.203836,41791.584913,-2502.601883,1490.331308,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G04,0,0,152.237862,45.092727,21602265.716011,-730.673133,-3.100667114848e-08,-0.040000,3.526329,0.220450,-0.900000,21586128.621468,44129.200942,-298.400807,1844.414503,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G05,0,0,208.186937,30.997700,22643529.035730,2614.435871,2.200500336136e-08,0.030000,4.840962,0.328308,0.400000,22611261.629827,50829.458835,2932.804232,2002.020750,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G06,0,0,253.075717,21.903244,23451585.284275,1934.522860,-8.003335574239e-09,-0.020000,6.660674,0.491303,-0.700000,23441774.877372,61747.741444,2304.197381,2481.073945,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G07,0,0,301.945377,14.838265,24151164.095268,-1755.745885,3.600166778712e-08,0.010000,9.626154,0.786231,1.600000,24193127.786621,94521.918528,-844.383955,2264.817123,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
0,0.049999,G08,0,0,341.828671,10.822486,24574698.745347,-5188.434232,-1.500833893560e-08,-0.050000,12.964864,1.158832,-1.300000,24554178.268155,137655.137848,-5133.796928,4196.104153,17.066745,-0.117832,1,-10943.569847,647.384996,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G01,0,0,18.021808,74.147160,20324221.146712,-1738.639054,2.802501714036e-08,0.050000,2.598634,0.150597,0.800000,20313524.828341,41130.355778,-1296.689810,1627.980082,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G02,0,0,62.140260,66.179114,20559342.286489,-4103.603445,-1.701501028421e-08,-0.030000,2.732269,0.160362,-0.600000,20548941.789075,41401.084644,-3072.561441,1754.662267,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G03,0,0,109.232348,56.155507,20978002.983013,-3634.871219,1.301000685614e-08,0.020000,3.008695,0.180949,1.100000,20968584.752937,34544.316622,-3527.954321,1843.540360,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G04,0,0,152.235939,45.084996,21602189.692260,-730.853705,-3.102001371229e-08,-0.040000,3.526802,0.220854,-0.900000,21600266.051641,42846.049496,-430.897464,1659.090495,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G05,0,0,208.182351,30.990378,22643792.644981,2709.597743,2.201501028421e-08,0.030000,4.841984,0.328941,0.400000,22611334.440488,50239.439905,2910.952963,2234.105664,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G06,0,0,253.062893,21.898299,23451785.457360,2096.797202,-8.010006856143e-09,-0.020000,6.662083,0.492252,-0.700000,23418978.144080,61675.768750,3344.629262,2266.149723,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G07,0,0,301.935993,14.837344,24150997.617824,-1576.971926,3.600500342807e-08,0.010000,9.626720,0.787599,1.600000,24094015.525657,97562.659833,-1394.656954,2731.905330,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
1,0.149999,G08,0,0,341.819646,10.825967,24574188.801020,-5044.882416,-1.502501714036e-08,-0.050000,12.960966,1.160298,-1.300000,24605628.784913,114611.493156,-4370.902228,3785.391203,9.447132,-0.154986,1,-10809.941114,647.888838,legacy single-channel background mapped to dynamic multisat observation; legacy sustained-loss interval downweighted
