case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.153815,0.800000,192.878731,20381154.419230,1071.548506,0.153815,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,44.556988,63.577504
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.163922,-0.600000,-166.563994,20615459.650623,1110.426627,0.163922,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-219.634354,-214.783168
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.179897,1.100000,257.353052,20939253.245062,1169.786601,0.179897,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,278.776837,267.572574
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.204283,-0.900000,-226.097474,21352197.074080,1256.097075,0.204283,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-199.315519,-218.129741
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.230853,0.400000,322.828844,21724624.232815,1345.120185,0.230853,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,257.258677,250.209633
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.276199,-0.700000,-237.956102,22228015.137328,1487.225638,0.276199,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-338.964917,-333.413390
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.335545,1.600000,331.698449,22718849.029839,1658.492247,0.335545,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,309.068660,317.753273
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.392864,-1.300000,-253.627465,23067905.012589,1811.624751,0.392864,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-131.746372,-136.320094
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.214042,1.040000,156.628850,20357920.990522,1305.240413,0.214042,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,2583.291384,164.675020
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.245338,-0.780000,-281.779705,20853340.125725,1408.898525,0.245338,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-895.123153,-383.728230
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.309393,1.430000,561.520140,21601758.647423,1604.343258,0.309393,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1685.924946,652.033880
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.469763,-1.170000,-1216.227648,22696008.042663,2027.046080,0.469763,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-3012.159389,-1323.851660
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.833443,0.520000,2654.760943,23781304.060692,2794.485203,0.833443,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,3138.463401,1431.892288
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.323026,-0.910000,4660.042664,24391759.257044,4052.211012,1.323026,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,4748.820415,2086.826100
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.083353,2.080000,-9543.961263,24808437.602112,5964.975789,2.083353,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-13082.030682,-13238.318980
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.846494,-1.690000,16035.451700,25054165.484436,7288.841682,2.846494,2316.266186,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,8204.662970,12067.042649
