case_name,sat_id,azimuth_deg,elevation_deg,geometric_range_m,sat_clock_bias_s,tropo_delay_m,dispersive_delay_m,hardware_bias_m,noise_m,pseudorange_m,sigma_m,legacy_tau_g_m,legacy_tracking_sigma_reference_m,legacy_source_used,formation_note,residual_ls_m,residual_wls_m
A,G01,12.000,74.000,20380846.588381,2.800000000000e-08,2.392492,0.154222,0.800000,22.301296,20380983.842203,123.896090,0.154222,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,5.151849,7.351043
A,G02,58.000,66.000,20615499.037058,-1.700000000000e-08,2.517165,0.164356,-0.600000,-19.258697,20615606.956355,128.391311,0.164356,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-25.394846,-24.833948
A,G03,103.000,58.000,20938875.798361,1.300000000000e-08,2.711054,0.180373,1.100000,29.756037,20939025.648523,135.254714,0.180373,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,32.233117,30.937649
A,G04,148.000,50.000,21352291.573376,-3.100000000000e-08,3.000328,0.204824,-0.900000,-26.142160,21352397.029934,145.234225,0.204824,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-23.045567,-25.220917
A,G05,202.000,44.000,21724184.061111,2.200000000000e-08,3.307441,0.231464,0.400000,37.326571,21724338.731153,155.527380,0.231464,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,29.745136,28.930092
A,G06,248.000,37.000,22228127.303822,-8.000000000000e-09,3.815070,0.276930,-0.700000,-27.513296,22228225.580865,171.958097,0.276930,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-39.192245,-38.550375
A,G07,302.000,31.000,22718401.734983,3.600000000000e-08,4.453390,0.336433,1.600000,38.352105,22718555.684382,191.760526,0.336433,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,35.735605,36.739745
A,G08,340.000,27.000,23068030.003492,-1.500000000000e-08,5.046812,0.393904,-1.300000,-29.325272,23068129.315822,209.466228,0.393904,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-15.233050,-15.761844
B,G01,18.000,75.000,20357648.810294,2.800000000000e-08,2.691525,0.214608,1.040000,18.109961,20357782.472201,150.916345,0.214608,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,298.752014,19.042224
B,G02,63.000,60.000,20853494.342398,-1.700000000000e-08,3.001223,0.245988,-0.780000,-32.580330,20853589.325750,162.901649,0.245988,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-103.468661,-44.367366
B,G03,110.000,46.000,21601075.674127,1.300000000000e-08,3.611064,0.310212,1.430000,64.924872,21601262.052974,185.499635,0.310212,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-194.962700,75.386349
B,G04,155.000,31.000,22697090.642715,-3.100000000000e-08,5.034267,0.471007,-1.170000,-140.624386,22697083.647169,234.373976,0.471007,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-348.307188,-153.071584
B,G05,212.000,19.000,23778526.622120,2.200000000000e-08,7.919620,0.835649,0.520000,306.952508,23778956.254463,323.107903,0.835649,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,362.925196,165.565098
B,G06,258.000,13.000,24386965.055569,-8.000000000000e-09,11.347446,1.326528,-0.910000,538.810015,24387638.027897,468.530448,1.326528,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,549.156061,241.292444
B,G07,306.000,9.000,24817852.196677,3.600000000000e-08,15.995874,2.088867,2.080000,-1103.505328,24816878.063561,689.690830,2.088867,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,-1512.574231,-1530.659319
B,G08,346.000,7.000,25037984.331540,-1.500000000000e-08,20.047815,2.854028,-1.690000,1854.073576,25039984.113846,842.760716,2.854028,267.814591,tau_g median and tracking error statistics derived from ka_multifreq_receiver_common.py,single_epoch deterministic draw scaled by legacy 1 s sigma,948.479509,1395.228315
